2006-1	194034267606.0	29.3324	9.328702876492635	15.1606	1.8327159881591797	8.274332350544453	2	1009.597	923.451	1053.01	1.067847707903194
2006-2	206882931823.0	30.213499999999996	4.300032587260061	15.7539	1.9023185968399048	8.289289410417034	1	1053.01	1009.597	1061.088	1.0251836607347653
2006-3	222194705371.0	31.382800000000003	0.7671342152496097	15.6896	1.8358449935913086	8.547191384206839	2	1061.088	1053.01	1172.347	1.055144259368261
2006-4	393465158770.0	50.64840000000001	10.485369733707284	18.1189	1.9248849153518677	9.194459564113815	2	1172.347	1061.088	1365.451	1.1343899189668278
2006-5	598372305302.0	68.2226	16.471573689359897	20.0841	2.151501417160034	9.350501232761207	2	1365.451	1172.347	1393.963	1.0904293563854333
2006-6	460787563328.0	53.1218	2.088101294004696	20.3174	2.199850082397461	9.259306978337111	1	1393.963	1365.451	1294.328	0.9736079539399134
2006-7	384091953091.0	40.195299999999996	-7.147607217695162	20.3354	2.1299939155578613	9.566107840277454	1	1294.328	1393.963	1338.694	0.9799750871549197
2006-8	246394446404.0	26.4412	3.42772465711938	19.9865	2.127629041671753	9.410201320652364	2	1338.694	1294.328	1403.265	1.0412323997482462
2006-9	312988020664.0	33.3475	4.823432390075721	21.1012	2.2503437995910645	9.389754822365035	2	1403.265	1338.694	1464.473	1.0459237533874983
2006-10	321847441261.0	33.6945	4.361827594930379	19.6822	2.1946821212768555	8.96813918796015	2	1464.473	1403.265	1714.358	1.1053018898363205
2006-11	632367050506.0	59.092200000000005	17.06313465663074	24.576	2.5809872150421143	9.521953508608654	2	1714.358	1464.473	2041.047	1.1805538943688014
2006-12	891822460110.0	73.78930000000001	19.056054803022484	32.3179	3.3613364696502686	9.614607886091445	2	2041.047	1714.358	2385.335	1.1795705771701503
2007-1	1460245520150.0	96.82070000000003	16.86820538674514	36.2548	3.799450635910034	9.542124080802703	2	2385.335	2041.047	2544.571	1.1165567050652143
2007-2	937196956513.0	56.539100000000005	6.675624178574502	36.5397	3.8792057037353516	9.419389415292693	2	2544.571	2385.335	2781.784	1.0799086307557264
2007-3	1567569995008.0	87.5291	9.322317986018081	37.1005	4.182559013366699	8.963262908737448	2	2781.784	2544.571	3558.709	1.182602932767092
2007-4	2442695212304.0	103.53319999999998	27.92901965069896	35.6375	4.585202217102051	7.772289672089856	2	3558.709	2781.784	3927.952	1.1882871030507172
2007-5	2831754027886.0	95.72340000000001	10.3757570512228	40.1193	4.982213020324707	8.052499230029923	1	3927.952	3558.709	3764.078	1.0284497308625349
2007-6	2746710794172.0	86.40419999999997	-4.171995991804389	37.1895	4.770196914672852	7.967164569402833	2	3764.078	3927.952	4460.564	1.0656431594694122
2007-7	1706562756813.0	53.10739999999999	18.50349541109404	44.0946	5.586114406585693	7.893607909427721	2	4460.564	3764.078	5296.813	1.1862548831545614
2007-8	2952233897287.0	78.01960000000001	18.747606804879368	42.9394	6.386550426483154	6.723405646904966	2	5296.813	4460.564	5580.813	1.1185459966704774
2007-9	2378712273551.0	56.252	5.361714676353491	46.0654	6.732966423034668	6.84176590259499	2	5580.813	5296.813	5688.543	1.036318383464909
2007-10	1953999411150.0	41.24379999999999	1.9303639093443792	47.7878	7.068262577056885	6.760891711727161	0	5688.543	5580.813	4737.408	0.921343676056145
2007-11	1391214782010.0	27.996100000000006	-16.72018652227819	40.5327	6.3022589683532715	6.431456340209559	0	4737.408	5688.543	5338.275	0.9687237528625093
2007-12	1423017659535.0	28.1704	12.683454749939195	43.4061	6.728013515472412	6.451481526814205	1	5338.275	4737.408	4620.401	0.9875735278311836
2008-1	2416082162101.0	42.560300000000005	-13.447677386421642	36.1669	5.512461185455322	6.56092966470478	0	4620.401	5338.275	4674.55	0.9357706797143426
2008-2	1011895642018.0	18.478	1.1719545554595978	35.5131	5.420897483825684	6.551144105359695	0	4674.55	4620.401	3790.53	0.9057537369311823
2008-3	1358896775750.0	26.195300000000003	-18.911339059374697	27.0952	4.25449800491333	6.368602637271053	0	3790.53	4674.55	3959.119	0.9202998962910317
2008-4	1484353274960.0	31.186899999999998	4.447636610183792	27.5079	4.411685943603516	6.2352254264386335	1	3959.119	3790.53	3611.33	0.9760759648795232
2008-5	1415899900333.0	27.154699999999995	-8.784504835545492	25.3889	4.1004133224487305	6.191787366019358	0	3611.33	3959.119	2791.819	0.8397390539007838
2008-6	848355269873.0	19.8744	-22.692775237931727	20.2653	3.364673376083374	6.022970759958769	0	2791.819	3611.33	2805.21	0.8813514053876308
2008-7	1170271061140.0	27.4379	0.47965143872150673	20.4449	3.365226984024048	6.075351484276948	0	2805.21	2791.819	2391.64	0.9255593552864232
2008-8	587820804122.0	15.384899999999998	-14.742924772120459	17.1843	2.873164176940918	5.955143024717441	0	2391.64	2805.21	2243.657	0.8943253540796373
2008-9	660686701467.0	18.9117	-6.1875114983860335	16.2906	2.736560821533203	5.952928950490191	0	2243.657	2391.64	1663.66	0.8340352058660997
2008-10	645104807747.0	19.725	-25.850519932413917	12.5119	1.9865145683288574	6.298423220419091	0	1663.66	2243.657	1829.924	0.9031050986729672
2008-11	951080207193.0	30.968	9.993868939566974	13.4766	2.148287773132324	6.273163124383225	2	1829.924	1663.66	1817.722	1.0452771202325148
2008-12	1173198111295.0	35.97889999999999	-0.6668036486761175	12.9311	2.0559134483337402	6.28969401583602	2	1817.722	1829.924	2032.682	1.053945597693007
2009-1	807715858404.0	22.372700000000002	11.82579074247878	14.1678	2.2490949630737305	6.299346957848018	2	2032.682	1817.722	2140.489	1.0851574801072665
